strategy,episode,final_biomass_mg,total_reward,total_feed_g,mortality_pct,survival_pct,steps
PPO Agent,1,99.26,37.53,90.73,84.3,15.7,96
PPO Agent,2,150.59,96.47,625.7,63.3,36.7,90
PPO Agent,3,132.53,84.55,92.51,68.6,31.4,96
PPO Agent,4,37.9,-73.16,46.49,98.4,1.6,96
PPO Agent,5,47.09,-75.52,52.77,98.8,1.2,96
PPO Agent,6,99.97,14.86,129.06,90.0,10.0,96
PPO Agent,7,52.78,-63.43,43.49,98.3,1.7,96
PPO Agent,8,149.8,63.33,208.75,82.0,18.0,96
PPO Agent,9,151.67,94.16,189.37,63.9,36.1,95
PPO Agent,10,148.5,85.46,154.77,70.4,29.6,96
PPO Agent,11,130.24,23.92,583.03,93.5,6.5,96
PPO Agent,12,91.75,29.47,50.42,88.3,11.7,96
PPO Agent,13,85.21,-12.91,174.4,94.3,5.7,96
PPO Agent,14,115.46,51.92,84.11,82.8,17.2,96
PPO Agent,15,127.05,22.35,224.72,92.7,7.3,96
PPO Agent,16,97.07,-3.66,128.86,94.2,5.8,96
PPO Agent,17,151.04,106.19,186.36,58.9,41.1,95
PPO Agent,18,134.05,61.52,337.96,78.4,21.6,96
PPO Agent,19,56.43,-52.8,55.28,97.7,2.3,96
PPO Agent,20,150.6,114.06,466.77,41.8,58.2,88
Rule-Based,1,147.19,96.82,947.6,68.6,31.4,96
Rule-Based,2,123.94,32.54,555.88,91.2,8.8,96
Rule-Based,3,142.55,73.76,722.61,79.2,20.8,96
Rule-Based,4,128.13,26.4,493.81,93.5,6.5,96
Rule-Based,5,151.71,99.38,919.33,67.0,33.0,94
Rule-Based,6,104.42,14.0,553.53,93.1,6.9,96
Rule-Based,7,94.5,-9.18,434.75,95.8,4.2,96
Rule-Based,8,134.32,74.27,814.67,77.4,22.6,96
Rule-Based,9,151.1,114.65,1078.4,53.8,46.2,92
Rule-Based,10,153.25,113.2,1040.0,55.9,44.1,93
Rule-Based,11,152.45,87.16,789.79,75.2,24.8,95
Rule-Based,12,147.94,78.34,754.69,79.2,20.8,96
Rule-Based,13,151.83,111.26,1038.13,57.7,42.3,93
Rule-Based,14,107.92,18.73,524.93,92.0,8.0,96
Rule-Based,15,116.09,17.71,480.52,93.8,6.2,96
Rule-Based,16,108.78,17.31,526.11,92.7,7.3,96
Rule-Based,17,151.33,99.38,922.29,67.7,32.3,96
Rule-Based,18,123.87,35.51,565.98,90.7,9.3,96
Rule-Based,19,148.87,85.99,828.62,75.7,24.3,96
Rule-Based,20,140.7,74.21,751.68,78.8,21.2,96
Random,1,140.76,83.59,1024.78,76.4,23.6,96
Random,2,91.39,-17.58,611.16,97.1,2.9,96
Random,3,138.76,66.81,782.81,82.0,18.0,96
Random,4,114.71,7.06,508.92,95.6,4.4,96
Random,5,150.69,96.33,952.02,67.1,32.9,94
Random,6,103.8,10.25,501.11,93.2,6.8,96
Random,7,93.47,-19.4,390.22,96.9,3.1,96
Random,8,133.84,71.25,814.29,77.5,22.5,96
Random,9,151.22,111.4,979.39,56.8,43.2,93
Random,10,150.78,104.23,1056.17,64.1,35.9,94
Random,11,151.34,83.83,780.77,76.1,23.9,95
Random,12,139.78,66.52,768.49,83.7,16.3,96
Random,13,151.63,110.84,1078.43,57.2,42.8,93
Random,14,100.1,5.31,511.86,93.9,6.1,96
Random,15,110.6,14.14,495.05,93.2,6.8,96
Random,16,100.72,2.31,523.26,94.6,5.4,96
Random,17,140.76,81.01,890.43,77.3,22.7,96
Random,18,114.5,19.61,583.45,92.8,7.2,96
Random,19,148.32,84.19,889.12,75.6,24.4,96
Random,20,139.68,71.41,751.69,79.2,20.8,96
Do-Nothing,1,1.76,-155.46,0.0,100.0,0.0,90
Do-Nothing,2,2.44,-157.09,0.0,100.0,0.0,73
Do-Nothing,3,1.82,-167.03,0.0,100.0,0.0,83
Do-Nothing,4,1.81,-170.02,0.0,100.0,0.0,73
Do-Nothing,5,2.24,-161.17,0.0,100.0,0.0,89
Do-Nothing,6,1.93,-158.72,0.0,100.0,0.0,79
Do-Nothing,7,2.23,-175.93,0.0,100.0,0.0,81
Do-Nothing,8,1.56,-150.53,0.0,99.9,0.1,96
Do-Nothing,9,2.2,-157.78,0.0,100.0,0.0,86
Do-Nothing,10,2.13,-154.14,0.0,100.0,0.0,87
Do-Nothing,11,2.35,-165.66,0.0,100.0,0.0,87
Do-Nothing,12,2.04,-163.4,0.0,100.0,0.0,85
Do-Nothing,13,2.13,-142.45,0.0,99.9,0.1,96
Do-Nothing,14,1.92,-168.08,0.0,100.0,0.0,82
Do-Nothing,15,1.58,-174.29,0.0,100.0,0.0,87
Do-Nothing,16,2.12,-175.15,0.0,100.0,0.0,82
Do-Nothing,17,1.56,-170.22,0.0,100.0,0.0,85
Do-Nothing,18,1.48,-155.32,0.0,100.0,0.0,71
Do-Nothing,19,2.15,-168.06,0.0,100.0,0.0,92
Do-Nothing,20,1.68,-167.16,0.0,100.0,0.0,89
